_id,name,title,slug,order,description,pageDescription,metaKeywords,relatedCategories,parent
1013514931,Pharmacy Forms,Pharmacy Forms,pharmacy-forms,0,"Free online forms for your pharmacy. Whether your pharmacy is part of the CPESN, NCPA, or another organization, you can use vaccine registration forms, surveys, and more. Easy to customize and embed in your website. Opt for HIPAA compliance.","<p>Whether your pharmacy is administering COVID-19 vaccines, flu shots, or just collecting patient information, do it securely and speedily with Jotform! Whether your pharmacy is part of the CPESN, NCPA, or another organization, you can use this form to collect vaccine registrations, consent forms, surveys, and more from any device. With online Pharmacy Forms, you can quickly customize a template below to perfectly match your pharmacyâ€™s needs â€” then embed the form in your pharmacyâ€™s website, share it with patients using a link, or have them fill it out in-person on your pharmacyâ€™s tablet or computer.</p><p><br></p><p>All templates can be customized to match your company needs and branding. Add your logo, rearrange the layout, choose new fonts and colors, and more with our drag-and-drop Form Builder. Jotform offers <a href=""https://www.jotform.com/hipaa/"" target=""_blank"" style=""background-color: rgb(255, 255, 255);"">HIPAA compliance</a> and a signed Business Associate Agreement (BAA) for Gold and Enterprise users, as well as other advanced security measures like GDPR compliance, HIPAA compliance, and more. Create custom Pharmacy Forms that can be filled out on any device with Jotform!</p>",Pharmacy Forms,"4f857176ceae3f361d000000,4f856b13ceae3fba05000000,1104109730",4f857176ceae3f361d000000
1026289237,Gaming Forms,Gaming Forms,gaming,0,"Level up your workflow with free online gaming form templates for esports tournaments, streaming, game development, and more. Easy to customize and embed.","<p dir=""ltr"" style=""line-height:1.38;margin-top:0pt;margin-bottom:0pt;"">Whether youâ€™re hosting an esports tournament, developing the next big video game, or getting started in streaming, level up the way you collect data online with our free online Gaming Forms. Simply select one of the readymade templates below and customize it to best meet your each and every need â€” then embed it in your website or share it via social media, form link, or email invite to start accepting form submissions. Youâ€™ll receive responses instantly in JotForm Tables, ready to view, download, and organize as a collaborative spreadsheet-database.</p><p dir=""ltr"" style=""line-height:1.38;margin-top:0pt;margin-bottom:0pt;""><br></p><p dir=""ltr"" style=""line-height:1.38;margin-top:0pt;margin-bottom:0pt;"">From character creation to modding capabilities, any gamer knows that customization is key â€” which is why weâ€™ve made it easy to customize our Gaming Forms however you want. Using our Form Builder, you only have to drag and drop to add form fields, change the form layout and design, and more. Power up your form even further with advanced widgets â€” including our Twitch widget, which lets you embed your live stream into your form â€” or with our 100+ app integrations. You can even connect your form with Discord to instantly send submissions right to your server. With our game-changing Gaming Forms in your item inventory, youâ€™ll save time better spent doing what you love â€” playing, watching, or creating video games!</p>",Gaming Forms,"",""
1034466334,Tax Forms,Tax Forms,tax-forms,0,"Securely collect tax information online with online Tax Forms. Receive e-signatures, payments, and more. Easy to customize, share, and embed. Fill out on any device.","<p>Whether youâ€™re a government agency collecting official tax forms or an accountant gathering information from your clients, securely receive tax information online with Jotformâ€™s Tax Forms! Start by selecting a form template below and customizing it to match your needs and branding. Then share the form or embed it in your website to be filled out on any smartphone, tablet, or computer. Submissions are stored in your secure Jotform account and can be converted into professional PDF documents automatically.</p><p>Choose a tax form template below and customize it in seconds with our drag-and-drop Form Builder. Upload your company logo, add more form fields to collect documents or e-signatures, receive payments via 30+ popular payment processors, and more. Once you start collecting submissions, you can expertly track them in Jotform Inbox or Jotform Tables â€” or sync them to your other accounts with 100+ integrations including Google Drive, Dropbox, and more. Streamline the way you collect tax documents with Jotformâ€™s secure online Tax Forms.</p>",Tax Forms,"4f854c5a365599ea2c00001b,4f854c5a365599ea2c000009,4f854c5a365599ea2c00001d",4f854c5a365599ea2c000009
1039467542,Relationship Surveys,Relationship Surveys,relationship-surveys,98,Free quiz and survey templates for relationship advice and compatibility tests. Easy to customize and embed. 100+ integrations. Works on any device. No coding.,"<p dir=""ltr"" style=""line-height:1.38;margin-top:0pt;margin-bottom:0pt;"">Whether youâ€™re matchmaking, helping couples strengthen their love for each other, or simply conducting research about dating habits, youâ€™ll love our free Relationship Survey Templates! Simply select the one that best suits your needs and customize it with our drag-and-drop Form Builder. And since sharing is caring, share your chosen relationship survey by embedding it in your website, sending email invites, or posting the form link on social media. Youâ€™ll receive submissions instantly in JotForm Inbox and JotForm Tables, our spreadsheet-database hybrid.</p><p dir=""ltr"" style=""line-height:1.38;margin-top:0pt;margin-bottom:0pt;""><br></p><p dir=""ltr"" style=""line-height:1.38;margin-top:0pt;margin-bottom:0pt;"">Donâ€™t love the look of your selected relationship survey? Using our Form Builder, you can easily add new questions and form fields, upload images and logos, set up conditions, change the form layout and design, and more! You can even integrate your survey with 100+ apps, such as Google Drive, Dropbox, Airtable, and Slack â€” because your favorite apps working hand-in-hand helps you stay organized. Plus, JotForm is compatible on any computer or mobile device, so you can collect and manage submissions from anywhere. Keep romance alive with custom Relationship Surveys on your website!</p>",Relationship Surveys,"",4f854c5a365599ea2c000004
1049599044,Summer Camp Surveys,Summer Camp Surveys,summer-camp-surveys,0,Gather feedback from campers and their parents with free online Summer Camp Surveys. Easy drag-and-drop customization. Integrate with 30+ powerful integrations.,"<p>A summer camp survey is filled in by campers and their parents to provide feedback on what a summer camp is doing well and what they need to improve on. With our free online Summer Camp Surveys, you can collect the data you need to make sure that everyoneâ€™s a happy camper! Simply choose a survey template below, customize the design in a couple of clicks, and add it to your website or share it via email. All responses will be stored in your Jotform account, easy to access on any device.</p><p>Every summer camp is special, so why not make your Summer Camp Survey match your camp by adding your logo, updating questions, or changing the background image? With our easy drag-and-drop Form Builder, it only takes a couple of minutes to get the design you want. And if you want to make your workflow more efficient, use our <a href=""https://www.jotform.com/sr/integrations/"" target=""_blank"">80+ integrations</a> to automatically sync form submissions to other platforms including popular CRM systems, cloud platforms, and more. Feedback is the best way to improve your summer camp experience - so quickly collect the data you need with a custom online Summer Camp Survey.</p>",Summer Camp Evaluations,"",""
1069140533,Summer Camp Medical Forms,Summer Camp Medical Forms,summer-camp-medical-forms,0,"Collect campers' medical information with secure online Summer Camp Medical Forms. Monitor allergies, medical conditions, and more. Upgrade for HIPAA compliance.","<p>A summer camp medical form is used to collect important health data for children attending a summer camp. In order to keep your camp running smoothly and keep your campers safe, be sure to collect their medical details beforehand with a free online Summer Camp Medical Form! Once youâ€™ve customized a form from the list below, embed it in your website or share it with a link to collect information instantly. All responses are securely stored in your Jotform account, allowing you to access camper allergies and medical conditions on any device.</p><p>Once youâ€™ve chosen a Summer Camp Medical Form, customize it with our free drag-and-drop Form Builder to make it match your camp. Add your logo, change font and colors, or upload background images of your happy campers! To automate your workflow and make your job even easier, sync medical data to cloud platforms like Google Drive or Dropbox or to CRM systems like HubSpot or Zoho. And be sure to upgrade to an appropriate plan to protect your medical data with <a href=""https://www.jotform.com/hipaa/"" target=""_blank"">HIPAA compliance</a>!</p>",Summer Camp Medical Forms,"",4f854c5a365599ea2c000030
1069207537,Summer Camp Consent Forms,Summer Camp Consent Forms,summer-camp-consent-forms,0,"Free consent forms, waivers, and permission slips for your summer camp. Get parental consent and signatures online. Easy to customize and embed. No coding.","<p>Summer consent forms, waivers, and permission slips are all necessary to guarantee that a camper has permission to participate in various camp activities. Summer camp managers and staff can use our free Summer Camp Consent Forms to easily gather camper information and signatures online. Just select one of the free templates below to get started! All you have to do is customize the form for your summer camp, publish it online, and watch submissions fill up your secure JotForm account â€” without any coding. </p><p>Customizing your form is a summer breeze with our drag-and-drop Form Builder. Once youâ€™ve selected a Summer Camp Consent Form, you can easily add form fields, change the template fonts and colors, upload your camp logo, and more! Feel free to add e-signature form fields to capture legally binding signatures or file upload fields to accept doctorsâ€™ notes. You can even integrate with your favorite payment process to accept fees online. With our Summer Camp Consent Forms ready to go, you can send your worries on vacation and focus on making this summer the best (and safest) one yet!</p>",Summer Camp Consent Forms,"",4f854c5a365599ea2c000030
1069551034,Summer Camp Job Application Forms,Summer Camp Job Application Forms,summer-camp-job-application-forms,0,"Accept job applications and resumes online for your summer camp. Easy to customize, embed, and share on social media. Sync with 80+ apps. No coding required.","<p>Summer camp job applications are used to hire camp counselors and other camp staff. If youâ€™re in charge of hiring counselors for your summer camp, our free Summer Camp Job Applications will help you accept and organize applications online. Simply select one of the templates below to customize using our Form Builder. Once youâ€™ve published it on you camp website or shared it via social media, youâ€™ll be accepting applications in no time! All applications will be safely stored in your secure JotForm account, easily accessible on any device â€” even <a href=""https://www.jotform.com/products/mobile-forms/"">offline</a>.</p><p>Customize your Summer Camp Job Application Form to make a good first impression on applicants. With our intuitive Form Builder, all you have to do is drag and drop form fields and visual elements with your mouse or finger until youâ€™ve created the perfect custom job application form. You can add a file upload field to collect resumes and cover letters, and integrate the form with cloud-storage apps like Dropbox or Google Drive to store each submission. With our readymade Summer Camp Job Application Forms doing the hard work for you, youâ€™ll have no trouble finding great camp leaders for the best summer ever.</p>",Summer Camp Job Application Forms,"",4f854c5a365599ea2c000030
1082515029,Coronavirus Response Forms,Coronavirus Response Forms,coronavirus-response-forms,0,Support those whoâ€™ve been hit hardest by COVID-19 with free Coronavirus Response Forms. Collect medical data and donations with HIPAA Compliant online forms.,"<p>With the COVID-19 pandemic getting more and more serious every day, itâ€™s important to support those whoâ€™ve been hit the hardest. Jotformâ€™s free online Coronavirus Response Forms help healthcare organizations, nonprofits, and government agencies collect the information they need â€” without the need for back and forth phone calls, emails, or exposing more people to the coronavirus. So whether youâ€™re collecting patient self-assessments, processing event ticket refunds, or monitoring your workplaceâ€™s safety practices, these readymade templates are designed to make it easier for you and your organization to collect and process information remotely.</p><p>If you need to change the look or design of your chosen Coronavirus Response Form template, use our drag-and-drop Form Builder to make necessary changes in seconds. You can even sync submissions directly to your other accounts or collect donations online with our 100+ <a href=""https://www.jotform.com/integrations/"" target=""_blank"">free form integrations</a>. </p>",Coronavirus Related Forms,"",4f857176ceae3f361d000000
1092507132,Telecommuting Forms,Telecommuting Forms,telecommuting,0,"Collect important data from employees while working remotely with our free Telecommuting Forms. Great for requests, feedback, and more. Easy to customize and share.","<p>Telecommuting forms are used to communicate with employees and ensure that a work-from-home arrangement is going well for everyone involved. With our range of free online Telecommuting Forms, employers can collect employee feedback, equipment requests, time sheets, and more! Just choose a form template from the list below, customize it to match your company, and embed it in your website or share it with a link to start collecting submissions. Your JotForm account is easily accessible on any device, letting you monitor employee responses on your phone, tablet, or computer.</p><p>If you need to add questions, your company logo, or e-signature or file upload fields to your chosen Telecommuting Form, do it in a couple of clicks with our drag-and-drop Form Builder. You can even sync submissions directly to your other accounts, cutting out manual data entry and improving your workflow! Our 100+ <a href=""https://www.jotform.com/integrations/"">free form integrations</a> include Google Drive, Dropbox, Slack, Box, Airtable, and more. With free online Telecommuting Forms collecting data for you, you can easily check in on your employees and ensure their telework is going well.</p>",Telecommuting Forms,"",""
